player_game_num_career,date,pts,blk,orb,drb,ast,stl,tov,fg3,fg,ft
1.0,2024-04-21,15.0,5.0,2.0,9.0,2.0,1.0,3.0,2.0,6.0,1.0
2.0,2024-04-24,26.0,2.0,1.0,6.0,1.0,0.0,1.0,3.0,9.0,5.0
3.0,2024-04-27,6.0,4.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,1.0
4.0,2024-04-29,14.0,0.0,2.0,7.0,5.0,0.0,3.0,1.0,5.0,3.0
5.0,2024-05-07,19.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,8.0,1.0
6.0,2024-05-09,11.0,2.0,1.0,5.0,6.0,0.0,4.0,1.0,4.0,2.0
7.0,2024-05-11,13.0,4.0,2.0,6.0,3.0,1.0,1.0,0.0,5.0,3.0
8.0,2024-05-13,18.0,4.0,1.0,8.0,0.0,1.0,0.0,1.0,6.0,5.0
9.0,2024-05-15,13.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0
10.0,2024-05-18,21.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,9.0,2.0
11.0,2025-04-20,19.0,2.0,1.0,9.0,2.0,1.0,0.0,3.0,5.0,6.0
12.0,2025-04-22,20.0,5.0,2.0,9.0,0.0,0.0,1.0,3.0,6.0,5.0
13.0,2025-04-24,24.0,0.0,2.0,6.0,0.0,0.0,1.0,5.0,8.0,3.0
14.0,2025-04-26,11.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,5.0
15.0,2025-05-05,12.0,4.0,1.0,5.0,2.0,1.0,2.0,0.0,5.0,2.0
16.0,2025-05-07,15.0,2.0,1.0,10.0,2.0,2.0,0.0,2.0,3.0,7.0
17.0,2025-05-09,18.0,3.0,5.0,11.0,0.0,1.0,3.0,1.0,7.0,3.0
18.0,2025-05-11,8.0,0.0,2.0,11.0,0.0,0.0,2.0,0.0,4.0,0.0
19.0,2025-05-13,14.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0
20.0,2025-05-15,19.0,1.0,1.0,10.0,1.0,1.0,0.0,2.0,8.0,1.0
21.0,2025-05-18,13.0,1.0,3.0,8.0,1.0,1.0,2.0,0.0,4.0,5.0
22.0,2025-05-20,15.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,6.0,2.0
23.0,2025-05-22,22.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,8.0,5.0
24.0,2025-05-24,10.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,3.0,3.0
25.0,2025-05-26,21.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,9.0,1.0
